bacru	gismu   	-ba'u-		      	x_1 verwoord/drukt uit/spreekt [maakt vocaal geluid] x_2.	Ook stemmen; Niet per sé communicatie of gehoor; ('zegt' is normaal {cusku}).  Zie ook : {krixa}, {cusku}, {casnu}, {tavla}, {voksa} en {pinka}.
badna	gismu			      	x_1 is een banaan [fruit/plant] van de soort x_2.	Zie ook {grute}.
banfi	gismu			      	x_1 is een amfibie van de soort x_2.	Zie ook {danlu} en {respa}.
bangu	gismu   	-ban-   	-bau-	      	x_1 is een taal/dialect gebruikt door x_2 om zich uit te drukken/communiceren x_3 (si'o/du'u, geen quote).	Zie ook : {tance}, {cusku}, {ve} {tavla}, {valsi}, {gerna}, {jufra}, {natmi} en {slaka}.
banxa	gismu   	-bax-		      	x_1 is een bank van/door x_2 voor bankieren x_3 (gebeurtenis).	Zie ook : {sorcu}, {zarci}, {canja} en {kagni}.
banzu	gismu   	-baz-		      	x_1 (object) voldoet aan de eisen voor zijn functie x_2 onder de omstandigheden x_3.	Zie ook : {dukse}, {claxu}, {nitcu}, {ricfu} en {curmi}.
barda	gismu   	-bra-		      	x_1 is groot in eigenschap/afmeting x_2 vergeleken met standaard/norm x_3	Zie ook {banli}, {clani}, {ganra}, {condi}, {plana}, {cmalu}, {rotsu}, {banro}, {xanto}.
besna	gismu   	-ben-		      	x_1 zijn de hersenen van x_2; [metafoor: intelligentie].	Ook cerebus.  Zie ook : {menli}, {stedu}, {rango} en {pensi}.
bifce	gismu   	-bic-		      	x_1 is een bij of wesp van het soort x_2.	zie ook {cinki}, {sfani}, {lakse}.
bindo	gismu   	-bid-		      	x_1 reflecteerd de indonesische cultuur/nationaliteit/taal in aspect x_2.	Zie ook {meljo} en {baxso}.
cecmu	gismu   	-cem-   	-ce'u-	      	x_1 is gemeenschap/kolonie van organismen x_2.	Zie ook : {bende}, {kulnu}, {natmi}, {tcadu}, {jecta}, {girzu}.
djacu	gismu   	-jac-   	-jau-	      	x_1 is gemaakt van, bevat of is water; (bijvoegelijk naamwoord:) x_1 is waterig/waterachtig.	Zie ook : {lalxu}, {rirxe}, {xamsi}, {limna}, {litki}, {lumci}, {bumru} en {jinto}.
djica	gismu   	-dji-		      	x_1 verlangt/wilt/wenst naar x_2 (gebeurtenis/moment) voor doel x_3.	Als het verlangen is naar een object, tu'a in x_2 (of gebruik lujvo = po'edji).  Zie ook : {taske}, {xagji}, {mukti}, {nitcu}, {nelci}, {pacna}, {prami}, {rigni}, {trina}, {xebni}, {xlura}.
drudi	gismu   	-rud-   	-dru-	      	x_1 is een dak/bovenkant/plafond van x_2.	Een 'drudi' is (gemaakt) over iets en beschermt het tegen andere dingen boven de 'drudi'.
dukse	gismu   	-dus-   	-du'e-	      	x_1 is een overmaat van / is te veel van x_2 met de standaard x_3.	Zie ook : {bancu}, {banzu}, {ricfu} en {zmadu}.
genxu	gismu   	-gex-		      	x_1 is een haak [vorm] van materiaal x_2.	Zie ook : {kruvi} en {korcu}
gerna	gismu   	-gen-   	-ge'a-	      	x_1 zijn de regels/gramatica van taal x_2 voor structuur/tekst x_3.	Zie ook : {bangu}, {stura}, {cmavo}, {jufra}.
grute	gismu   	-rut-		      	x_1 is een fruit van de soort x_2.	Zie ook : {badna}, {dembi}, {figre}, {guzme}, {narge}, {perli}, {pilka}, {plise}, {spati}, {stagi}, {tamca}, {tsiju}, {tarbi}, {panzi}, {rorci}, te {pruce}, {jbari} en {nimre}.
jimpe	gismu   	-jmi-		      	x_1 begrijpt feit/waarheid x_2 (du'u) over onderwerp x_3; x_1 begrijpt (fi) x_3.	Zie ook : {djuno}, {jijnu}, {morna}, {smuni}, {saske}, {viska}.
kanba	gismu			      	x_1 is een geit van het ras x_2.	Zie ook : {lanme}, {sunla}
lalxu	gismu   	-la'u-		      	x_1 is een meer of lagune in geografish gebied x_2.	Zie ook : {daplu}, {djacu}, {rirxe}, {xamsi} en {zbani}.
mulno	gismu   	-mul-   	-mu'o-	      	x_1 (gebeurtenis) is voldaan/klaar/afgelopen; x_1 (object) is klaar/af en is en geheel geworden x_2 met de x_3 standaard.
mutce	gismu   	-tce-		      	x_1 is veel/extreem in de eigenschap x_2 (ka), richting x_3	Ook : erg mooi, een hoop, intens en extreem.  zie ook : {milxe}, {traji}, {banli}, {carmi}, {nutli} en {traji}.
nimre	gismu			      	x_1 is een hoeveelheid citrus [fruit/boom, etc.] van soorten/ras x_2.	Zie ook : {grute}, {slari}, {slami}, {xukmi}.
papri	gismu			      	x_1 is een [fysieke] pagina/bladzijde van een boek/document x_2.	Genummerde bladzijden (net als in een boek) (= {paprysfe}, {paprysfelai}); Een pagina vol met tekst (= {papryseltcidu}, {paprytcidylai}). Zie ook : {karni}, {pelji}, {prina}, {xatra}, {vreji}, {pezli}, {cukta} en {ciska}.
pinxe	gismu   	-pix-		      	x_1 drinkt fris/drank/vloeibare stof x_2 uit container/bron x_3.	Zie ook : {cidja}, {citka}, {taske}, {tunlo}, {xaksu}, {barja}, {birje}.
ponse	gismu   	-pos-   	-po'e-	      	x_1 bezit/heeft x_2 volgens wet/traditie x_3	Zie ook : {ckini}, {ralte}, {jitro}, {steci}, {srana}, {tutra}, {turni} en {zivle}.
rarna	gismu   	-rar-		      	x_1 is natuurlijk/spontaan/instinctief, niet [bewust] veroorzaakt door mensen.	Zie ook : {rutni}, {jinzi}, {nurma} en {stati}.
sance	gismu   	-sna-		      	x_1 is een geluid afkomstig van x_2.	x_2 maakt geluid (als werkwoord). Zie ook {savru}, {tirna}, {voksa}, {siclu}, {slaka}.
senpi	gismu   	-sen-		      	x_1 twijfelt eraan of x_2 (du'u) de waarheid is.	Zie ook {jinvi}, {krici}, {djuno}, {birti}
skami	gismu   	-sam-		      	x_1 is een computer gebruikt voor x_2.	zie ook {kanji}, {minji}, {pensi}.
spati	gismu   	-spa-		      	x_1 is een plant/kruid/'groen' van de soorten/ras x_2.	x_1 is een groente.
stati	gismu			      	x_1 heeft een talent (vaardigheid) voor het doen/zijn van x_2.	Zie ook : {jinzi}, {certu}, {rarna}, {larcu} en {kakne}.
taske	gismu			      	x_1 dorst naar x_2; x_1 heeft nodig/wilt drank/vloeistof/laxeermiddel x_2.	Zie ook : {nitcu}, {djica}, {xagji}, {pinxe}.
vacri	gismu   	-var-		      	x_1 is een hoeveelheid lucht uit x_2, van samenstelling inclusief x_3.	Zie ook : {gapci}, {kijno}, {trano}, {tumla}, {vasxu} en {xamsi}.
voksa	gismu   	-vok-   	-vo'a-	      	x_1 is een stem van individu x_2.	Zie ook : {sance}, {tirna}, {bacru}.
zgana	gismu   	-zga-		      	x_1 observeerd/[merkt]/ziet/aanschouwd x_2 gebruikmakende van x_3 onder omstandigheden x_4.	aanschouwen/kijken/staren (= {vi'azga});
zgike	gismu   	-zgi-   	-gi'e-	      	x_1 is muziek uitgevoerd/geproduceerd door x_2 (gebeurtenis).	x_2 (gebeurtenis) kan een persoon zijn die het instrument bespeelt of zingt. Kan ook de bron van de muziek zelf zijn, zoals het instrument zelf.  Zie ook : {damri}, {dansu}, {flani}, {janbe}, {jgita}, {pipno}, {rilti}, {tabra}, {tonga}, {xagri} en {siclu}.
zmadu	gismu   	-zma-   	-mau-	      	x_1 is meer dan x_2 als in abstracte of quantiteit x_3 (ka/ni) met de hoeveelheid x_4.	Zie ook : {mau}, {mleca}, {zenba}, {jmina}, {bancu} en {dukse}, {traji}.
