bi	cmavo   	-biv-		      		cyfra / numer: 8 (cyfry) [osiem].
ci	cmavo   	-cib-		      		cyfra / numer: 3 (cyfra) [trzy].
do	cmavo   	-don-   	-doi-	      		pro-sumti: ty/wy, słuchacz(e); można sprecyzować w wołaczu	Wołacz: {doi}
mi	cmavo   	-mib-		      		pro-sumti: ja/mówca/autor; identyfikowane samowołaczem.	Samowołacz ma budowę &quot;{mi'e} [cmene/sumti/selbri]&quot;, np. &quot;mi'e karol&quot;
mu	cmavo   	-mum-		      		cyfra / numer: 5 (cyfry) [pięć].
no	cmavo   	-non-		      		cyfra / numer: 0 (cyfry) [zerowy].
pa	cmavo   	-pav-		      		cyfra / numer: 1 (cyfra) [jeden].
re	cmavo   	-rel-		      		cyfra / numer: 2 (cyfra) [dwa].
so	cmavo   	-soz-		      		cyfra / numer: 9 (cyfry) [dziewięć].
ti	cmavo   	-tif-		      		pro-sumti: to, tutaj; wskazuje na rzecz/miejsce blisko mówiącego
vo	cmavo   	-von-		      		cyfra / numer: 4 (cyfra) [cztery].
xa	cmavo   	-xav-		      		cyfra / numer: 6 (cyfry) [sześć].
ze	cmavo   	-zel-		      		cyfra / numer: 7 (cyfry) [siedem].
zo'e	cmavo			      		pro-sumti: elipsa/nieokreślona wartość; posiada pewną wartość przy której bridi jest prawdziwe
