bajra	gismu   	-baj-		      	x1 chạy trên x2 dùng x3 theo cách x4
cutci	gismu   	-cuc-		      	x1 là giầy cho x2 làm từ x3
gerku	gismu   	-ger-   	-ge'u-	      	x1 là chó thuộc giống x2
jibri	gismu   	-jib-		      	x_1 là công việc/việc làm/nghề nghiệp (việc làm thường xuyên, để kiếm tiền) của người x_2
kanro	gismu   	-ka'o-		      	x1 khỏe mạnh theo tiêu chuẩn x2
klama	gismu   	-kla-		      	x1 đi đến x2 từ x3 qua x4 dùng x5
kurji	gismu   	-kuj-   	-ku'i-	      	x1 chăm sóc x2
lerfu	gismu   	-ler-   	-le'u-	      	x_1 là chữ cái/chữ số/biểu tượng trong bảng chữ cái/bộ kí tự x_2, biểu thị x_3
melbi	gismu   	-mel-   	-mle-	      	x1 đẹp đối với x2 theo tiêu chuẩn x3
pluka	gismu   	-puk-   	-pu'a-	      	x1 làm x2 vui lòng dưới điều kiện x3
prami	gismu   	-pam-   	-pa'i-	      	x_1 yêu x_2
stali	gismu   	-sta-		      	x1 ở lại với x2
sutra	gismu   	-sut-		      	x1 làm việc x2 một cách nhanh chóng
tavla	gismu   	-tav-   	-ta'a-	      	x1 nói với x2 về x3 bằng ngôn ngữ x4
vecnu	gismu   	-ven-   	-ve'u-	      	x1 bán x2 cho x3 với giá x4
zarci	gismu   	-zac-   	-zai-	      	x1 là chợ/cửa hàng/cửa hiệu bán x2 do x3 làm việc
